,0
640,20.599936
641,20.900764
642,21.289478
643,21.72414
644,22.147657
645,22.525698
646,22.87867
647,23.234161
648,23.567724
649,23.85105
650,24.100456
651,24.338669
652,24.547852
653,24.71268
654,24.866735
655,25.049557
656,25.200686
657,25.380444
658,25.557175
659,25.716438
660,25.887192
661,26.025373
662,26.110317
663,26.128338
664,26.107668
665,26.057735
666,25.954317
667,25.850554
668,25.771484
669,25.71613
670,25.64978
671,25.579714
672,25.483624
673,25.37161
674,25.296444
675,25.24003
676,25.190973
677,25.158688
678,25.154022
679,25.14635
680,25.14578
681,25.1169
682,25.078846
683,24.991009
684,24.871532
685,24.73617
686,24.596996
687,24.449322
688,24.295588
689,24.113821
690,23.93028
691,23.725288
692,23.516844
693,23.317583
694,23.130497
695,22.992579
696,22.936949
697,22.954332
698,23.019909
699,23.126059
700,23.251116
701,23.402468
702,23.557615
703,23.701483
704,23.829004
705,23.940094
706,24.036106
707,24.130913
708,24.228912
709,24.3293
710,24.41384
711,24.496025
712,24.576828
713,24.627623
714,24.678967
715,24.735954
716,24.792616
717,24.85448
718,24.92476
719,24.999184
720,25.05376
721,25.081404
722,25.092802
723,25.083397
724,25.09091
725,25.118223
726,25.186758
727,25.273909
728,25.367619
729,25.483202
730,25.596277
731,25.716494
732,25.827398
733,25.914711
734,25.98065
735,26.047264
736,26.110125
737,26.156334
738,26.19318
739,26.219126
740,26.272997
741,26.332298
742,26.413286
743,26.507057
744,26.607533
745,26.724773
746,26.86266
747,27.000193
748,27.116943
749,27.166267
750,27.187649
751,27.229692
752,27.239841
753,27.254728
754,27.270247
755,27.2837
756,27.304527
757,27.30513
758,27.323637
759,27.36037
760,27.421463
761,27.49207
762,27.554047
763,27.584972
764,27.529716
765,27.429873
766,27.328411
767,27.227287
768,27.157179
769,27.102436
770,27.06754
771,27.043644
772,27.034271
773,27.016886
774,27.000147
775,26.97562
776,26.934153
777,26.888796
778,26.839632
779,26.776148
780,26.73997
781,26.70268
782,26.662302
783,26.595427
784,26.51882
785,26.434559
786,26.328205
787,26.192814
788,26.072508
789,25.99663
790,25.943361
791,25.892036
792,25.853203
793,25.828413
794,25.832039
795,25.84282
796,25.846941
797,25.827497
798,25.809525
799,25.79922
800,25.782415
801,25.776705
802,25.793476
803,25.8195
804,25.867811
805,25.917486
806,25.977976
807,26.03871
808,26.09941
809,26.169144
810,26.243835
811,26.34402
812,26.454441
813,26.543253
814,26.62191
815,26.676426
816,26.72027
817,26.750275
818,26.755999
819,26.758549
820,26.764973
821,26.773422
822,26.79101
823,26.82702
824,26.882893
825,26.95333
826,27.01901
827,27.067263
828,27.099388
829,27.115416
830,27.118658
831,27.115213
832,27.10834
833,27.09403
834,27.061333
835,26.995367
836,26.917767
837,26.829578
838,26.733444
839,26.641392
840,26.562511
841,26.46269
842,26.365973
843,26.264643
844,26.189402
845,26.129765
846,26.061525
847,25.996204
848,25.905817
849,25.781122
850,25.62921
851,25.469498
852,25.309525
853,25.202991
854,25.12404
855,25.034555
856,24.93264
857,24.839842
858,24.76392
859,24.731834
860,24.727463
861,24.734558
862,24.759525
863,24.816948
864,24.896448
865,24.99163
866,25.107176
867,25.236717
868,25.362759
869,25.488993
870,25.604538
871,25.74867
872,25.89129
873,26.013035
874,26.120344
875,26.204762
876,26.287807
877,26.358942
878,26.422506
879,26.490545
880,26.556866
881,26.616095
